week_start,campus_id,channel_id,channel_name,impressions,leads,applications,kyc_started,approved_accounts,funded_accounts,activated_users,spend,support_tickets,kyc_rework_cases
2026-06-15,CMP001,campus_ambassador,Campus ambassadors,684,62,14,11,5,2,1,1100.39,0,1
2026-06-15,CMP001,partner_webinar,Partner webinars,1136,150,38,27,14,7,5,4342.23,0,0
2026-06-15,CMP001,referral,Student referral loops,1085,114,31,24,12,6,4,1962.24,2,0
2026-06-15,CMP001,creator_content,Creator content,1108,70,16,13,7,3,1,1437.52,1,0
2026-06-15,CMP001,paid_social,Paid social,825,44,11,8,4,1,0,1364.51,0,2
2026-06-15,CMP001,search_content,Search and explainer content,955,79,13,10,5,2,1,1912.67,0,0
2026-06-15,CMP002,campus_ambassador,Campus ambassadors,895,81,15,12,6,2,1,1494.33,6,0
2026-06-15,CMP002,partner_webinar,Partner webinars,731,96,20,14,8,3,2,2192.14,0,0
2026-06-15,CMP002,referral,Student referral loops,1357,142,33,24,14,6,4,1826.81,0,0
2026-06-15,CMP002,creator_content,Creator content,1107,70,17,14,8,3,1,1595.39,0,3
2026-06-15,CMP002,paid_social,Paid social,880,47,12,10,6,2,1,1915.33,1,0
2026-06-15,CMP002,search_content,Search and explainer content,1220,101,18,14,9,4,2,2396.71,0,0
2026-06-15,CMP003,campus_ambassador,Campus ambassadors,164,14,2,1,0,0,0,303.62,2,0
2026-06-15,CMP003,partner_webinar,Partner webinars,267,33,6,5,1,0,0,999.45,0,0
2026-06-15,CMP003,referral,Student referral loops,199,19,2,1,0,0,0,257.07,7,0
2026-06-15,CMP003,creator_content,Creator content,186,11,1,0,0,0,0,304.67,0,0
2026-06-15,CMP003,paid_social,Paid social,219,11,2,1,0,0,0,436.77,1,7
2026-06-15,CMP003,search_content,Search and explainer content,186,14,1,0,0,0,0,285.54,3,0
2026-06-15,CMP004,campus_ambassador,Campus ambassadors,335,26,4,3,1,0,0,424.8,0,1
2026-06-15,CMP004,partner_webinar,Partner webinars,240,27,5,4,2,0,0,679.12,0,0
2026-06-15,CMP004,referral,Student referral loops,255,23,3,2,0,0,0,405.56,1,0
2026-06-15,CMP004,creator_content,Creator content,355,19,2,1,0,0,0,523.13,0,0
2026-06-15,CMP004,paid_social,Paid social,252,11,2,1,0,0,0,425.93,0,0
2026-06-15,CMP004,search_content,Search and explainer content,523,38,7,5,2,0,0,731.39,0,0
2026-06-15,CMP005,campus_ambassador,Campus ambassadors,524,43,12,10,4,2,1,1191.29,1,3
2026-06-15,CMP005,partner_webinar,Partner webinars,710,85,19,15,7,2,1,3216.33,2,0
2026-06-15,CMP005,referral,Student referral loops,276,26,6,4,1,0,0,418.67,0,4
2026-06-15,CMP005,creator_content,Creator content,319,18,3,2,0,0,0,456.04,0,0
2026-06-15,CMP005,paid_social,Paid social,451,22,5,4,1,0,0,1231.85,0,0
2026-06-15,CMP005,search_content,Search and explainer content,750,56,12,9,4,1,0,1759.14,2,0
2026-06-15,CMP006,campus_ambassador,Campus ambassadors,561,47,11,9,4,1,0,1062.49,0,3
2026-06-15,CMP006,partner_webinar,Partner webinars,329,39,6,4,1,0,0,1442.53,6,1
2026-06-15,CMP006,referral,Student referral loops,620,59,8,6,2,1,0,1092.73,0,0
